0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0626142656654,0.138776669855,0.152550274058,0.136387782646,0.0537909279241,0.0626891050669,0.0583511129421,0.0468953319128,0.0661365275348,0.0629271952503,0.138307460235,0.153906065228,0.135556289454,0.0559526855324,0.067798930196,0.0587269500089,0.047568094237,0.0649484028401,-0.00101637575971,-0.00436592378369,0.0145751070334,-0.00716501658725,-0.00200517747761,0.0485887292302,0.00267210489006,0.000378577847177,-0.00765447600015,0.00337684999586,3.27467488598e-05,0.00103064078278,1.22630340854e-05,0.00455541713152,0.00295031665984,0.00410105671205,0.00441799599298,-6.01508238773e-06
0.0626276805485,0.138714245387,0.152750161828,0.136277497029,0.0539332561183,0.0632847772711,0.0583802361081,0.0469133025266,0.0660629123664,0.0629570960625,0.138310501727,0.153906254681,0.135561188981,0.0559882029837,0.0678071849164,0.0587633676046,0.0476065024993,0.0649493775729,0.00134148831212,-0.00624244680636,0.0199887769628,-0.0110285617209,0.014232819418,0.05956722042,0.00291231659896,0.00179706138526,-0.00736151684234,0.00299008121145,0.000304149241637,1.89453094934e-05,0.000489952731189,0.00355174513086,0.000825472038526,0.00364175956793,0.00384082623063,9.74732753775e-05
0.0626603168453,0.138652290462,0.152943794326,0.136164336797,0.0542427498749,0.0638512977119,0.0584158214518,0.0469542013629,0.0659750103275,0.0629832757587,0.13831397965,0.153903770459,0.135567955946,0.0560154660738,0.0678053689744,0.0587965527527,0.0476409381218,0.064950196203,0.00326362968255,-0.00619549253152,0.0193632497614,-0.0113160231637,0.0309493756602,0.0566520440806,0.00355853437269,0.00408988362481,-0.00879020389085,0.00261796962555,0.000347792279962,-0.000248422218638,0.000676696522536,0.0027263090086,-0.000181594203631,0.00331851481469,0.0034435622492,8.18630104107e-05
0.0627060455152,0.138602856676,0.1530974776,0.136072340011,0.0545126733089,0.064320543754,0.0584537575119,0.0470122025001,0.0658888496253,0.063006390379,0.138316269707,0.153903709723,0.135573541814,0.0560380389979,0.0678047528394,0.0588272417156,0.0476726708512,0.0649495885408,0.00457286699246,-0.00494337855215,0.0153683273974,-0.00919967858651,0.0269923433946,0.0469246042159,0.00379360601522,0.00580011372529,-0.00861607021636,0.00231146203358,0.000229005746918,-6.07365850114e-06,0.000558586809302,0.00225729241656,-6.16134909578e-05,0.00306889629418,0.00317327293837,-6.07662198268e-05
0.0627550985477,0.138566822086,0.153209577157,0.136005565306,0.0547207833317,0.0646938704285,0.0584925271359,0.0470772451731,0.0658101139143,0.0630271139154,0.138317046845,0.153906730692,0.135576734881,0.0560587252647,0.0678094769246,0.0588556029123,0.0477022223671,0.064946668377,0.00490530324882,-0.00360345903564,0.0112099557267,-0.006677470534,0.0208110022816,0.0373326674497,0.00387696239591,0.00650426729695,-0.00787357110186,0.00207235363062,7.77137822566e-05,0.000302096936136,0.000319306711527,0.00206862667909,0.000472408512696,0.00283611966988,0.00295515158387,-0.000292016373384
0.0628012228346,0.138539562819,0.153293635764,0.135956684986,0.0548845846389,0.0650014000265,0.0585327236467,0.0471443588301,0.0657362631829,0.0630459113703,0.138316786245,0.153911936568,0.135577917735,0.0560788335159,0.0678192889693,0.0588815779944,0.0477296415302,0.0649422464496,0.00461242868863,-0.0027259266532,0.00840586068743,-0.00488803199852,0.0163801307256,0.0307529598021,0.00401965108048,0.00671136569418,-0.00738507313567,0.00187974549762,-2.60600427432e-05,0.000520587653879,0.000118285338241,0.00201082512122,0.000981204473328,0.0025975082074,0.002741916315,-0.000442192746825
0.0628426529135,0.138516457561,0.153363451046,0.135916959495,0.0550222162811,0.0652719418632,0.058574564511,0.0472117652677,0.0656643633191,0.0630630163688,0.138316268904,0.153917519399,0.13557811007,0.0560984066157,0.0678312190508,0.0589051208363,0.0477548128133,0.0649373484719,0.00414300789088,-0.00231052584717,0.00698152821786,-0.00397254913509,0.013763164216,0.0270541836651,0.0041840864327,0.0067406437629,-0.0071899863821,0.00171049984422,-5.17340677408e-05,0.000558283048299,1.92334949217e-05,0.00195730997773,0.00119300815348,0.00235428418881,0.00251712831324,-0.000489797764375
0.0628797244626,0.138495137998,0.153426736998,0.135881196805,0.0551451910977,0.0655214440061,0.058617145178,0.0472779335295,0.0655939060665,0.0630785261778,0.138315978191,0.153922231212,0.135578191425,0.0561168706273,0.0678422410023,0.0589263273924,0.0477777069873,0.0649326279851,0.00370715490928,-0.00213195628037,0.00632859520566,-0.00357626894687,0.0122974816613,0.0249502142886,0.00425806670052,0.00661682618572,-0.00704572526675,0.00155098089937,-2.90712797696e-05,0.000471181289988,8.13550104506e-06,0.00184640116032,0.00110219514991,0.0021206556134,0.00228941739918,-0.000472048679478
0.062913149856,0.138475148908,0.153485552288,0.135847863915,0.0552584078734,0.0657543355153,0.0586590039088,0.0473411737153,0.0655261363399,0.0630925007771,0.138315973672,0.153925714168,0.135578576751,0.0561336806187,0.067850971676,0.0589453949955,0.0477984217177,0.0649283310615,0.00334253934197,-0.00199890897244,0.00588152897378,-0.00333328901923,0.0113216775676,0.0232891509216,0.00418587307585,0.00632401857646,-0.0067769726597,0.00139745993156,-4.51933626633e-07,0.000348295655109,3.853261063e-05,0.00168099913913,0.000873067366165,0.00190676030417,0.00207147304054,-0.000429692359043
0.062943427751,0.138456827308,0.153539291503,0.135817263361,0.0553626635178,0.0659696094307,0.0586989016352,0.0474002087494,0.065462574288,0.0631050239786,0.138316155025,0.153928215056,0.135579268357,0.0561486085987,0.0678574475391,0.0589625680479,0.047817153446,0.0649244042886,0.00302778949509,-0.00183216002819,0.0053739214863,-0.0030600553445,0.0104255644412,0.0215273915414,0.00398977264182,0.00590350341369,-0.00635620518727,0.00125232014956,1.81352627082e-05,0.000250088753201,6.91605855779e-05,0.00149279800134,0.000647586312479,0.00171730524566,0.0018731728255,-0.000392677297129
